counterInt,id,code,counteropendt,originCode,originEn,destinationEn,createTime,aircraftType,destination,edtDate,gateInt,relatedFlt,viaEn,depterminal,hkName,cobt,primaryFlt,via,type,portno,createUser,flightNumber,origin,sendTime,arrsdtDate,updateTime,belt,hkNameEn,counter,planDate,flightType,viaCode,flightAttr,sdtDate,beltInt,registration,adtDate,flightStatus,gate,updateUser,destinationCode
,173290,200,1719421800000,SYX,SANYA,GUANGZHOU,2024-06-26 00:29:58,,广州,2024-06-27 02:50:00,,,,,中国南方航空公司,,,,D,,anonymousUser,CZ6737,三亚,2024-06-26 15:20:11,,2024-06-26 15:19:50,,CHINA SOUTHERN AIRLINES,C1-C12,2024-06-26 00:00:00,0,,22,2024-06-27 02:50:00,,6782#,,CNL4,,anonymousUser,CAN
,173077,,1719414900000,SYX,SANYA,GUANGZHOU,2024-06-26 00:29:28,B737-MAX8,广州,2024-06-27 02:35:00,,,,,九元航空,,,,D,606,anonymousUser,AQ1112,三亚,2024-06-26 17:51:52,,2024-06-26 17:51:34,,JIUYUANHANGKONG,D1-D2,2024-06-26 00:00:00,0,,22,2024-06-27 02:35:00,,206J,,,114,anonymousUser,CAN
,173202,,1719404400000,SYX,SANYA,GUANGZHOU,2024-06-26 00:29:46,B737-800,广州,2024-06-27 01:40:00,,,,,海南航空公司,,,,D,103,anonymousUser,HU7309,三亚,2024-06-26 17:47:35,,2024-06-26 17:47:18,,HAINAN AIRLINES,A1-A16,2024-06-26 00:00:00,0,,22,2024-06-27 01:40:00,,5687,,,203,anonymousUser,CAN
,173126,,1719414600000,SYX,SANYA,GUANGZHOU,2024-06-26 00:29:35,A321NEO,广州,2024-06-27 00:50:00,,,,,中国南方航空公司,,,,D,503,anonymousUser,CZ6739,三亚,2024-06-26 16:45:04,,2024-06-26 16:44:43,,CHINA SOUTHERN AIRLINES,C1-C12,2024-06-26 00:00:00,0,,22,2024-06-27 00:50:00,,322A,,,,anonymousUser,CAN
,173185,,1719408300000,SYX,SANYA,SHENZHEN,2024-06-26 00:29:43,B737-800,深圳,2024-06-27 00:05:00,,,,,海南航空公司,,,,D,516,anonymousUser,HU7749,三亚,2024-06-26 17:46:29,,2024-06-26 17:46:08,,HAINAN AIRLINES,A1-A16,2024-06-26 00:00:00,0,,22,2024-06-27 00:05:00,,5520,,,108,anonymousUser,SZX
,173029,,1719408000000,SYX,SANYA,CHENGDU,2024-06-26 00:29:20,A320-214,成都双流,2024-06-27 00:05:00,,TV5092,,,西藏航空,,,,D,109,anonymousUser,TV5092,三亚,2024-06-26 13:15:28,,2024-06-26 13:15:06,,XIZANG,A1-A16,2024-06-26 00:00:00,0,,22,2024-06-27 00:05:00,,1630,,,209,anonymousUser,CTU
,173028,,1719408000000,SYX,SANYA,CHENGDU,2024-06-26 00:29:20,A320-214,成都双流,2024-06-27 00:05:00,,TV5092,,,成都航空有限公司,,,,D,109,anonymousUser,EU2208,三亚,2024-06-26 13:15:28,,2024-06-26 13:15:06,,CHENGDU AIRLINE CO.，LED,A1-A16,2024-06-26 00:00:00,0,,22,2024-06-27 00:05:00,,1630,,,209,anonymousUser,CTU
,173253,,1719400800000,SYX,SANYA,WUHAN,2024-06-26 00:29:53,A321-231,武汉,2024-06-26 23:45:00,,,,,中国南方航空公司,,,,D,118,anonymousUser,CZ8409,三亚,2024-06-26 14:11:28,,2024-06-26 14:11:07,,CHINA SOUTHERN AIRLINES,C1-C12,2024-06-26 00:00:00,0,,22,2024-06-26 23:45:00,,6397,,,218,anonymousUser,WUH
,173069,,1719410400000,SYX,SANYA,XI'AN,2024-06-26 00:29:27,B737-800,西安,2024-06-26 23:40:00,,,,,长安航空有限责任公司,,,,D,102,anonymousUser,9H8362,三亚,2024-06-26 13:52:23,,2024-06-26 13:52:06,,CHANGAN,D1-D20,2024-06-26 00:00:00,0,,22,2024-06-26 23:40:00,,5328,,,202,anonymousUser,XIY
,173039,,1719406800000,SYX,SANYA,NANJING,2024-06-26 00:29:22,A321-211,南京,2024-06-26 23:40:00,,,,,上海吉祥航空,,,,D,106,anonymousUser,HO1748,三亚,2024-06-26 15:40:30,,2024-06-26 15:40:09,,JUNEYAO AIRLINES,B1-B16,2024-06-26 00:00:00,0,,22,2024-06-26 23:40:00,,1647,,,206,anonymousUser,NKG
